Timestamp,I consent to participating in this research.,What is your primary area of study?,"1. In the past year, was the clothing you bought:","2. In the past year, how often did you buy clothing (including purchases, gifts, and secondhand)?",3. Average price: How much do you typically spend on a single shirt/top? ($),"4. Disposal method: When getting rid of clothes, what do you usually do? ","5. When getting rid of clothes, what is the primary reason for doing so? (Select up to 2)"
2/5/2026 15:18:59,Yes,,About equal new and secondhand,About once per month,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Selling for money"
2/5/2026 15:20:07,Yes,,"Mostly new, some secondhand",About once per month,15-35,I actually have never thrown a piece of clothing away in my life !!!!!,I do not throw anything away ever
2/5/2026 15:21:04,Yes,,"Mostly new, some secondhand",About once a year,5-15,"Donate (Thrift store, handing down)","Torn/Broken, Don't like it anymore"
2/5/2026 15:25:50,Yes,,"Mostly secondhand, some new",About once per month,15-35,I dnot get rid of clothes,"Don't like it anymore, It didn't let me choose multiple, but I do all the above. But primarily because I don't like it or i need to make space."
2/5/2026 17:04:04,Yes,,"Mostly new, some secondhand",Every few months,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/5/2026 19:34:45,Yes,,Almost always new,About once a year,5-15,"Donate (Thrift store, handing down)","Doesn't fit anymore, Don't like it anymore"
2/5/2026 19:36:05,Yes,,Almost always new,Every few months,15-35,"Donate (Thrift store, handing down)","Don't like it anymore, Freeing up space"
2/6/2026 16:41:22,Yes,,Almost always new,Every few months,35-75,Throw away (Trash/Landfill),"Doesn't fit anymore, Don't like it anymore"
2/6/2026 17:39:52,Yes,,Almost always secondhand,About once per week or more,15-35,use as kitchen rag,Torn/Broken
2/6/2026 22:15:14,Yes,,Almost always new,Every few years,15-35,"Donate (Thrift store, handing down)","Torn/Broken, Don't like it anymore"
2/9/2026 13:37:14,Yes,,Almost always new,About once per month,15-35,Throw away (Trash/Landfill),"Torn/Broken, Freeing up space"
2/9/2026 14:15:46,Yes,,"Mostly new, some secondhand",Every few months,5-15,"Donate (Thrift store, handing down)","Torn/Broken, Freeing up space"
